 cellID,nascent_transcripts_rawIntDen
1,0
2,17644
3,11833
4,1215
5,3288
6,9595
7,18301
8,10170
9,14512
10,2032
11,33010
12,6832
13,6572
14,11436
15,15023
16,17755
