 cellID,nascent_transcripts_rawIntDen
1,0
2,15664
3,28105
4,163826
5,33661
6,5447
7,33954
8,492725
9,3158
10,1544
11,130308
12,139771
13,195961
14,27157
15,348913
16,144003
