 cellID,nascent_transcripts_rawIntDen,nascent_trascription_mean
1,0,0
2,3944,358.5
3,97678,368.6
4,3916,356.0
5,13298,369.4
6,6880,362.1
7,37031,366.6
8,3259,362.1
9,0,0
10,90111,381.8
11,58023,374.3
12,8760,365.0
13,8944,372.7
14,11255,363.1
15,20089,365.3
16,2154,359.0
